policyName,policyDescription,policyId,policyVersion,policyCategory,policyMode,policyType,policyPreview,policyDeprecated,policyEffect,policyEffectAllowedValues,policyRolesUsedCount,policyRolesUsed,policyUsedInPolicySetCount,policyUsedInPolicySet,dateAdded,cloudEnvs,azUSGovVersion
Configure API Management services to disable access to API Management public service configuration endpoints,To improve the security of API Management services; restrict connectivity to service configuration endpoints; like direct access management API; Git configuration management endpoint; or self-hosted gateways configuration endpoint.,7ca8c8ac-3a6e-493d-99ba-c5fa35347ff2,1.1.0,API Management,Indexed,BuiltIn,,,DeployIfNotExists,DeployIfNotExists; Disabled,1,API Management Service Contributor (312a565d-c81f-4fd8-895a-4e21e48d571c),1,Enforce recommended guardrails for API Management (Enforce-Guardrails-APIM) ALZ,2021-08-30 14:27:30,AzureCloud,
[Deprecated]: Configure diagnostic settings for storage accounts to Log Analytics workspace,Deprecated: This policy did not evaluate correctly and has been separated into policies for each of the nested resources. Please see new policies for storage accounts (id: /providers/Microsoft.Authorization/policyDefinitions/59759c62-9a22-4cdf-ae64-074495983fef); blob services (b4fe1a3b-0715-4c6c-a5ea-ffc33cf823cb); file (25a70cc8-2bd4-47f1-90b6-1478e4662c96); queue (7bd000e3-37c7-4928-9f31-86c4b77c5c45); and table (2fb86bf3-d221-43d1-96d1-2434af34eaa0).,6f8f98a4-f108-47cb-8e98-91a0d85cd474,1.3.0-deprecated,Storage,Indexed,BuiltIn,,True,DeployIfNotExists,DeployIfNotExists; Disabled,2,Monitoring Contributor (749f88d5-cbae-40b8-bcfc-e573ddc772fa); Log Analytics Contributor (92aaf0da-9dab-42b6-94a3-d43ce8d16293),0,,2021-02-23 16:24:42,AzureCloud,
[Deprecated]: Deploy Defender for Storage (Classic) on storage accounts,This policy enables Defender for Storage (Classic) on storage accounts - This policy is deprecated. New enablements of the classic plan are no longer supported; effective February 5; 2025. Existing subscriptions and storage accounts already enabled with the classic plan can continue to use it. For more details; please refer to https://aka.ms/DF-Storage/NewPlanMigration.,361c2074-3595-4e5d-8cab-4f21dffc835c,1.1.0-deprecated,Storage,Indexed,BuiltIn,,True,Disabled,DeployIfNotExists; Disabled,1,Security Admin (fb1c8493-542b-48eb-b624-b4c8fea62acd),1,Enforce recommended guardrails for Storage Account (Enforce-Guardrails-Storage) ALZ,,AzureCloud,
[Deprecated]: Require blob encryption for storage accounts,This policy ensures blob encryption for storage accounts is turned on. It only applies to Microsoft.Storage resource types; not other storage providers. This policy is deprecated because storage blob encryption is now enabled by default; and can no longer be disabled.,7c5a74bf-ae94-4a74-8fcf-644d1e0e6e6f,1.0.0-deprecated,Storage,Indexed,BuiltIn,,True,Disabled,n/a,0,,0,,,AzureCloud,
Allowed Copy scope should be restricted for Storage Accounts,Azure Storage accounts should restrict the allowed copy scope. Enforce this for increased data exfiltration protection.,Deny-Storage-CopyScope,1.0.0,Storage,All,Custom - ALZ,,,Deny,Audit; Deny; Disabled,0,,1,Enforce recommended guardrails for Storage Account (Enforce-Guardrails-Storage) ALZ,,AzureCloud,
Azure API for FHIR should use a customer-managed key to encrypt data at rest,Use a customer-managed key to control the encryption at rest of the data stored in Azure API for FHIR when this is a regulatory or compliance requirement. Customer-managed keys also deliver double encryption by adding a second layer of encryption on top of the default one done with service-managed keys.,051cba44-2429-45b9-9649-46cec11c7119,1.1.0,API for FHIR,Indexed,BuiltIn,,,Audit,audit; Audit; disabled; Disabled,0,,23,Deny or Audit resources without Encryption with a customer-managed key (CMK) (Enforce-Encryption-CMK_20250218) ALZ; NIST SP 800-171 Rev. 2 (03055927-78bd-4236-86c0-f36125a10dc9) BuiltIn; NIST SP 800-53 Rev. 5 (179d1daa-458f-4e47-8086-2a68d0d6c38f) BuiltIn; EU 2022/2555 (NIS2) 2022 (42346945-b531-41d8-9e46-f95057672e88) BuiltIn; CMMC 2.0 Level 2 (4e50fd13-098b-3206-61d6-d1d78205cb45) BuiltIn; FBI Criminal Justice Information Services (CJIS) v5.9.5 (4fcabc2a-30b2-4ba5-9fbb-b1a4e08fb721) BuiltIn; SOC 2023 (53ad89f5-8542-49e9-ba81-1cbd686e0d52) BuiltIn; ISO/IEC 27001 2022 (5e4ff661-23bf-42fa-8e3a-309a55091cc7) BuiltIn; NIST SP 800-53 R5.1.1 (60205a79-6280-4e20-a147-e2011e09dc78) BuiltIn; NL BIO Cloud Theme (6ce73208-883e-490f-a2ac-44aac3b3687f) BuiltIn; EU General Data Protection Regulation (GDPR) 2016/679 (7326812a-86a4-40c8-af7c-8945de9c4913) BuiltIn; Brazilian General Data Protection Law (LGPD) 2018 (770977b7-fceb-4c16-9d09-b7484fb8eef2) BuiltIn; CSA CSA Cloud Controls Matrix v4.0.12 (8791506a-dec4-497a-a83f-3abfde37c400) BuiltIn; CMMC Level 3 (b5629c75-5c77-4422-87b9-2509e680f8de) BuiltIn; NIST SP 800-53 Rev. 4 (cf25b9c1-bd23-4eb6-bd2c-f4f3ac644a5f) BuiltIn; FedRAMP High (d5264498-16f4-418a-b659-fa7ef418175f) BuiltIn; NL BIO Cloud Theme V2 (d8b2ffbe-c6a8-4622-965d-4ade11d1d2ee) BuiltIn; K ISMS P 2023 (e0782c37-30da-4a78-9f92-50bfe7aa2553) BuiltIn; HITRUST CSF v11.3 (e0d47b75-5d99-442a-9d60-07f2595ab095) BuiltIn; [Preview]: Microsoft cloud security benchmark v2 (e3ec7e09-768c-4b64-882c-fcada3772047) BuiltIn; FedRAMP Moderate (e95f5a9f-57ad-4d03-bb0b-b1d16db93693) BuiltIn; ISO/IEC 27017 2015 (f48ecfa6-581c-43f9-8141-cd4adc72cf26) BuiltIn; DORA 2022 2554 (f9c0485f-da8e-43b5-961e-58ebd54b907c) BuiltIn,2020-10-27 14:12:45,AzureCloud,
Azure API for FHIR should use private link,Azure API for FHIR should have at least one approved private endpoint connection. Clients in a virtual network can securely access resources that have private endpoint connections through private links. For more information; visit: https://aka.ms/fhir-privatelink.,1ee56206-5dd1-42ab-b02d-8aae8b1634ce,1.0.0,API for FHIR,Indexed,BuiltIn,,,Audit,Audit; Disabled,0,,15,NIST SP 800-171 Rev. 2 (03055927-78bd-4236-86c0-f36125a10dc9) BuiltIn; NIST SP 800-53 Rev. 5 (179d1daa-458f-4e47-8086-2a68d0d6c38f) BuiltIn; CMMC 2.0 Level 2 (4e50fd13-098b-3206-61d6-d1d78205cb45) BuiltIn; New Zealand ISM (4f5b1359-4f8e-4d7c-9733-ea47fcde891e) BuiltIn; NL BIO Cloud Theme (6ce73208-883e-490f-a2ac-44aac3b3687f) BuiltIn; EU General Data Protection Regulation (GDPR) 2016/679 (7326812a-86a4-40c8-af7c-8945de9c4913) BuiltIn; [Deprecated]: New Zealand ISM Restricted v3.5 (93d2179e-3068-c82f-2428-d614ae836a04) BuiltIn; NIST SP 800-53 Rev. 4 (cf25b9c1-bd23-4eb6-bd2c-f4f3ac644a5f) BuiltIn; [Deprecated]: New Zealand ISM Restricted (d1a462af-7e6d-4901-98ac-61570b4ed22a) BuiltIn; FedRAMP High (d5264498-16f4-418a-b659-fa7ef418175f) BuiltIn; NL BIO Cloud Theme V2 (d8b2ffbe-c6a8-4622-965d-4ade11d1d2ee) BuiltIn; K ISMS P 2023 (e0782c37-30da-4a78-9f92-50bfe7aa2553) BuiltIn; [Preview]: Microsoft cloud security benchmark v2 (e3ec7e09-768c-4b64-882c-fcada3772047) BuiltIn; FedRAMP Moderate (e95f5a9f-57ad-4d03-bb0b-b1d16db93693) BuiltIn; DORA 2022 2554 (f9c0485f-da8e-43b5-961e-58ebd54b907c) BuiltIn,2020-11-10 16:00:42,AzureCloud,
CORS should not allow every domain to access your API for FHIR,Cross-Origin Resource Sharing (CORS) should not allow all domains to access your API for FHIR. To protect your API for FHIR; remove access for all domains and explicitly define the domains allowed to connect.,0fea8f8a-4169-495d-8307-30ec335f387d,1.1.0,API for FHIR,Indexed,BuiltIn,,,Audit,audit; Audit; disabled; Disabled,0,,21,CIS Controls v8.1 (046796ef-e8a7-4398-bbe9-cce970b1a3ae) BuiltIn; FFIEC CAT 2017 (1d5dbdd5-6f93-43ce-a939-b19df3753cf7) BuiltIn; NIST 800-171 R3 (38916c43-6876-4971-a4b1-806aa7e55ccc) BuiltIn; EU 2022/2555 (NIS2) 2022 (42346945-b531-41d8-9e46-f95057672e88) BuiltIn; NZISM v3.7 (4476df0a-18ab-4bfe-b6ad-cccae1cf320f) BuiltIn; New Zealand ISM (4f5b1359-4f8e-4d7c-9733-ea47fcde891e) BuiltIn; FBI Criminal Justice Information Services (CJIS) v5.9.5 (4fcabc2a-30b2-4ba5-9fbb-b1a4e08fb721) BuiltIn; SOC 2023 (53ad89f5-8542-49e9-ba81-1cbd686e0d52) BuiltIn; Sarbanes Oxley Act 2022 (5757cf73-35d1-46d4-8c78-17b7ddd6076a) BuiltIn; NIST SP 800-53 R5.1.1 (60205a79-6280-4e20-a147-e2011e09dc78) BuiltIn; EU General Data Protection Regulation (GDPR) 2016/679 (7326812a-86a4-40c8-af7c-8945de9c4913) BuiltIn; SWIFT Customer Security Controls Framework 2024 (7499005e-df5a-45d9-810f-041cf346678c) BuiltIn; CSA CSA Cloud Controls Matrix v4.0.12 (8791506a-dec4-497a-a83f-3abfde37c400) BuiltIn; PCI DSS v4.0.1 (a06d5deb-24aa-4991-9d58-fa7563154e31) BuiltIn; Cybersecurity Maturity Model Certification (CMMC) Level 2 v1.9.0 (a4087154-2edb-4329-b56a-1cc986807f3c) BuiltIn; Cyber Essentials v3.1 (b2f588d7-1ed5-47c7-977d-b93dff520c4c) BuiltIn; CMMC Level 3 (b5629c75-5c77-4422-87b9-2509e680f8de) BuiltIn; K ISMS P 2023 (e0782c37-30da-4a78-9f92-50bfe7aa2553) BuiltIn; HITRUST CSF v11.3 (e0d47b75-5d99-442a-9d60-07f2595ab095) BuiltIn; ISO/IEC 27002 2022 (e3030e83-88d5-4f23-8734-6577a2c97a32) BuiltIn; Canada Federal PBMM 3-1-2020 (f8f5293d-df94-484a-a3e7-6b422a999d91) BuiltIn,2020-06-23 16:03:25,AzureCloud,
[Deprecated]: API Management minimum API version should be set to 2019-12-01 or higher,While we continue to recommend using the latest management API versions; configuring a minimum API version no longer affects the security posture of API Management services. Learn more about policy definition deprecation at aka.ms/policydefdeprecation,549814b6-3212-4203-bdc8-1548d342fb67,1.1.0-deprecated,API Management,Indexed,BuiltIn,,True,Disabled,Audit; Deny; Disabled,0,,1,Enforce recommended guardrails for API Management (Enforce-Guardrails-APIM) ALZ,2022-06-17 16:31:08,AzureCloud,
API Management APIs should use only encrypted protocols,To ensure security of data in transit; APIs should be available only through encrypted protocols; like HTTPS or WSS. Avoid using unsecured protocols; such as HTTP or WS.,ee7495e7-3ba7-40b6-bfee-c29e22cc75d4,2.0.2,API Management,All,BuiltIn,,,Audit,Audit; Disabled; Deny,0,,9,Enforce recommended guardrails for API Management (Enforce-Guardrails-APIM) ALZ; EU AI Act 2024 1689 (1308bccf-446a-4283-a4e0-0c983fe7a572) BuiltIn; Microsoft cloud security benchmark (1f3afdf9-d0c9-4c3d-847f-89da613e70a8) BuiltIn; New Zealand ISM (4f5b1359-4f8e-4d7c-9733-ea47fcde891e) BuiltIn; [Preview]: Enforce Encryption-in-Transit across Azure Services - HTTPS (c7c0ab87-63da-4706-ba95-ff564e38402b) BuiltIn; NL BIO Cloud Theme V2 (d8b2ffbe-c6a8-4622-965d-4ade11d1d2ee) BuiltIn; K ISMS P 2023 (e0782c37-30da-4a78-9f92-50bfe7aa2553) BuiltIn; [Preview]: Microsoft cloud security benchmark v2 (e3ec7e09-768c-4b64-882c-fcada3772047) BuiltIn; DORA 2022 2554 (f9c0485f-da8e-43b5-961e-58ebd54b907c) BuiltIn,2022-06-17 16:31:08,AzureCloud,
